"Date","Sunrise","Sunset","Dawn","Dusk"
2025-01-01,7H 26M 0S,16H 54M 0S,6H 56M 0S,17H 24M 0S
2025-01-02,7H 26M 0S,16H 55M 0S,6H 56M 0S,17H 25M 0S
2025-01-03,7H 26M 0S,16H 56M 0S,6H 56M 0S,17H 26M 0S
2025-01-04,7H 26M 0S,16H 57M 0S,6H 56M 0S,17H 27M 0S
2025-01-05,7H 26M 0S,16H 58M 0S,6H 57M 0S,17H 28M 0S
2025-01-06,7H 26M 0S,16H 59M 0S,6H 57M 0S,17H 29M 0S
2025-01-07,7H 26M 0S,17H 0M 0S,6H 56M 0S,17H 29M 0S
2025-01-08,7H 26M 0S,17H 1M 0S,6H 56M 0S,17H 30M 0S
2025-01-09,7H 26M 0S,17H 2M 0S,6H 56M 0S,17H 31M 0S
2025-01-10,7H 26M 0S,17H 3M 0S,6H 56M 0S,17H 32M 0S
2025-01-11,7H 26M 0S,17H 4M 0S,6H 56M 0S,17H 33M 0S
2025-01-12,7H 25M 0S,17H 5M 0S,6H 56M 0S,17H 34M 0S
2025-01-13,7H 25M 0S,17H 6M 0S,6H 56M 0S,17H 35M 0S
2025-01-14,7H 25M 0S,17H 7M 0S,6H 55M 0S,17H 36M 0S
2025-01-15,7H 24M 0S,17H 8M 0S,6H 55M 0S,17H 37M 0S
2025-01-16,7H 24M 0S,17H 9M 0S,6H 55M 0S,17H 38M 0S
2025-01-17,7H 23M 0S,17H 10M 0S,6H 54M 0S,17H 39M 0S
2025-01-18,7H 23M 0S,17H 11M 0S,6H 54M 0S,17H 40M 0S
2025-01-19,7H 22M 0S,17H 12M 0S,6H 53M 0S,17H 41M 0S
2025-01-20,7H 22M 0S,17H 13M 0S,6H 53M 0S,17H 42M 0S
2025-01-21,7H 21M 0S,17H 15M 0S,6H 52M 0S,17H 44M 0S
2025-01-22,7H 21M 0S,17H 16M 0S,6H 52M 0S,17H 45M 0S
2025-01-23,7H 20M 0S,17H 17M 0S,6H 51M 0S,17H 46M 0S
2025-01-24,7H 19M 0S,17H 18M 0S,6H 51M 0S,17H 47M 0S
2025-01-25,7H 19M 0S,17H 19M 0S,6H 50M 0S,17H 48M 0S
2025-01-26,7H 18M 0S,17H 20M 0S,6H 49M 0S,17H 49M 0S
2025-01-27,7H 17M 0S,17H 22M 0S,6H 49M 0S,17H 50M 0S
2025-01-28,7H 16M 0S,17H 23M 0S,6H 48M 0S,17H 51M 0S
2025-01-29,7H 16M 0S,17H 24M 0S,6H 47M 0S,17H 52M 0S
2025-01-30,7H 15M 0S,17H 25M 0S,6H 46M 0S,17H 53M 0S
2025-01-31,7H 14M 0S,17H 26M 0S,6H 46M 0S,17H 55M 0S
2025-02-01,7H 13M 0S,17H 27M 0S,6H 45M 0S,17H 56M 0S
2025-02-02,7H 12M 0S,17H 29M 0S,6H 44M 0S,17H 57M 0S
2025-02-03,7H 11M 0S,17H 30M 0S,6H 43M 0S,17H 58M 0S
2025-02-04,7H 10M 0S,17H 31M 0S,6H 42M 0S,17H 59M 0S
2025-02-05,7H 9M 0S,17H 32M 0S,6H 41M 0S,18H 0M 0S
2025-02-06,7H 8M 0S,17H 33M 0S,6H 40M 0S,18H 1M 0S
2025-02-07,7H 7M 0S,17H 34M 0S,6H 39M 0S,18H 2M 0S
2025-02-08,7H 6M 0S,17H 36M 0S,6H 38M 0S,18H 3M 0S
2025-02-09,7H 5M 0S,17H 37M 0S,6H 37M 0S,18H 5M 0S
2025-02-10,7H 4M 0S,17H 38M 0S,6H 36M 0S,18H 6M 0S
2025-02-11,7H 3M 0S,17H 39M 0S,6H 35M 0S,18H 7M 0S
2025-02-12,7H 1M 0S,17H 40M 0S,6H 34M 0S,18H 8M 0S
2025-02-13,7H 0M 0S,17H 41M 0S,6H 33M 0S,18H 9M 0S
2025-02-14,6H 59M 0S,17H 43M 0S,6H 32M 0S,18H 10M 0S
2025-02-15,6H 58M 0S,17H 44M 0S,6H 30M 0S,18H 11M 0S
2025-02-16,6H 56M 0S,17H 45M 0S,6H 29M 0S,18H 12M 0S
2025-02-17,6H 55M 0S,17H 46M 0S,6H 28M 0S,18H 13M 0S
2025-02-18,6H 54M 0S,17H 47M 0S,6H 27M 0S,18H 14M 0S
2025-02-19,6H 53M 0S,17H 48M 0S,6H 25M 0S,18H 15M 0S
2025-02-20,6H 51M 0S,17H 49M 0S,6H 24M 0S,18H 17M 0S
2025-02-21,6H 50M 0S,17H 50M 0S,6H 23M 0S,18H 18M 0S
2025-02-22,6H 49M 0S,17H 52M 0S,6H 21M 0S,18H 19M 0S
2025-02-23,6H 47M 0S,17H 53M 0S,6H 20M 0S,18H 20M 0S
2025-02-24,6H 46M 0S,17H 54M 0S,6H 19M 0S,18H 21M 0S
2025-02-25,6H 44M 0S,17H 55M 0S,6H 17M 0S,18H 22M 0S
2025-02-26,6H 43M 0S,17H 56M 0S,6H 16M 0S,18H 23M 0S
2025-02-27,6H 42M 0S,17H 57M 0S,6H 15M 0S,18H 24M 0S
2025-02-28,6H 40M 0S,17H 58M 0S,6H 13M 0S,18H 25M 0S
2025-03-01,6H 39M 0S,17H 59M 0S,6H 12M 0S,18H 26M 0S
2025-03-02,6H 37M 0S,18H 0M 0S,6H 10M 0S,18H 27M 0S
2025-03-03,6H 36M 0S,18H 1M 0S,6H 9M 0S,18H 28M 0S
2025-03-04,6H 34M 0S,18H 2M 0S,6H 7M 0S,18H 29M 0S
2025-03-05,6H 33M 0S,18H 3M 0S,6H 6M 0S,18H 30M 0S
2025-03-06,6H 31M 0S,18H 4M 0S,6H 4M 0S,18H 31M 0S
2025-03-07,6H 30M 0S,18H 5M 0S,6H 3M 0S,18H 32M 0S
2025-03-08,6H 28M 0S,18H 7M 0S,6H 1M 0S,18H 33M 0S
2025-03-09,6H 27M 0S,18H 8M 0S,6H 0M 0S,18H 34M 0S
2025-03-10,6H 25M 0S,18H 9M 0S,5H 58M 0S,18H 35M 0S
2025-03-11,6H 24M 0S,18H 10M 0S,5H 57M 0S,18H 36M 0S
2025-03-12,6H 22M 0S,18H 11M 0S,5H 55M 0S,18H 37M 0S
2025-03-13,6H 20M 0S,18H 12M 0S,5H 54M 0S,18H 38M 0S
2025-03-14,6H 19M 0S,18H 13M 0S,5H 52M 0S,18H 39M 0S
2025-03-15,6H 17M 0S,18H 14M 0S,5H 51M 0S,18H 40M 0S
2025-03-16,6H 16M 0S,18H 15M 0S,5H 49M 0S,18H 41M 0S
2025-03-17,6H 14M 0S,18H 16M 0S,5H 47M 0S,18H 42M 0S
2025-03-18,6H 13M 0S,18H 17M 0S,5H 46M 0S,18H 43M 0S
2025-03-19,6H 11M 0S,18H 18M 0S,5H 44M 0S,18H 44M 0S
2025-03-20,6H 9M 0S,18H 19M 0S,5H 43M 0S,18H 45M 0S
2025-03-21,6H 8M 0S,18H 20M 0S,5H 41M 0S,18H 46M 0S
2025-03-22,6H 6M 0S,18H 21M 0S,5H 39M 0S,18H 47M 0S
2025-03-23,6H 5M 0S,18H 22M 0S,5H 38M 0S,18H 48M 0S
2025-03-24,6H 3M 0S,18H 23M 0S,5H 36M 0S,18H 50M 0S
2025-03-25,6H 1M 0S,18H 24M 0S,5H 35M 0S,18H 51M 0S
2025-03-26,6H 0M 0S,18H 25M 0S,5H 33M 0S,18H 52M 0S
2025-03-27,5H 58M 0S,18H 26M 0S,5H 31M 0S,18H 53M 0S
2025-03-28,5H 57M 0S,18H 27M 0S,5H 30M 0S,18H 54M 0S
2025-03-29,5H 55M 0S,18H 28M 0S,5H 28M 0S,18H 55M 0S
2025-03-30,5H 54M 0S,18H 29M 0S,5H 27M 0S,18H 56M 0S
2025-03-31,5H 52M 0S,18H 30M 0S,5H 25M 0S,18H 57M 0S
2025-04-01,5H 50M 0S,18H 31M 0S,5H 23M 0S,18H 58M 0S
2025-04-02,5H 49M 0S,18H 32M 0S,5H 22M 0S,18H 59M 0S
2025-04-03,5H 47M 0S,18H 33M 0S,5H 20M 0S,19H 0M 0S
2025-04-04,5H 46M 0S,18H 33M 0S,5H 19M 0S,19H 1M 0S
2025-04-05,5H 44M 0S,18H 34M 0S,5H 17M 0S,19H 2M 0S
2025-04-06,5H 43M 0S,18H 35M 0S,5H 15M 0S,19H 3M 0S
2025-04-07,5H 41M 0S,18H 36M 0S,5H 14M 0S,19H 4M 0S
2025-04-08,5H 39M 0S,18H 37M 0S,5H 12M 0S,19H 5M 0S
2025-04-09,5H 38M 0S,18H 38M 0S,5H 11M 0S,19H 6M 0S
2025-04-10,5H 36M 0S,18H 39M 0S,5H 9M 0S,19H 7M 0S
2025-04-11,5H 35M 0S,18H 40M 0S,5H 7M 0S,19H 8M 0S
2025-04-12,5H 33M 0S,18H 41M 0S,5H 6M 0S,19H 9M 0S
2025-04-13,5H 32M 0S,18H 42M 0S,5H 4M 0S,19H 10M 0S
2025-04-14,5H 30M 0S,18H 43M 0S,5H 3M 0S,19H 11M 0S
2025-04-15,5H 29M 0S,18H 44M 0S,5H 1M 0S,19H 12M 0S
2025-04-16,5H 28M 0S,18H 45M 0S,5H 0M 0S,19H 13M 0S
2025-04-17,5H 26M 0S,18H 46M 0S,4H 58M 0S,19H 14M 0S
2025-04-18,5H 25M 0S,18H 47M 0S,4H 57M 0S,19H 15M 0S
2025-04-19,5H 23M 0S,18H 48M 0S,4H 55M 0S,19H 16M 0S
2025-04-20,5H 22M 0S,18H 49M 0S,4H 54M 0S,19H 17M 0S
2025-04-21,5H 20M 0S,18H 50M 0S,4H 52M 0S,19H 18M 0S
2025-04-22,5H 19M 0S,18H 51M 0S,4H 51M 0S,19H 19M 0S
2025-04-23,5H 18M 0S,18H 52M 0S,4H 49M 0S,19H 21M 0S
2025-04-24,5H 16M 0S,18H 53M 0S,4H 48M 0S,19H 22M 0S
2025-04-25,5H 15M 0S,18H 54M 0S,4H 47M 0S,19H 23M 0S
2025-04-26,5H 14M 0S,18H 55M 0S,4H 45M 0S,19H 24M 0S
2025-04-27,5H 12M 0S,18H 56M 0S,4H 44M 0S,19H 25M 0S
2025-04-28,5H 11M 0S,18H 57M 0S,4H 42M 0S,19H 26M 0S
2025-04-29,5H 10M 0S,18H 58M 0S,4H 41M 0S,19H 27M 0S
2025-04-30,5H 9M 0S,18H 59M 0S,4H 40M 0S,19H 28M 0S
2025-05-01,5H 7M 0S,19H 0M 0S,4H 39M 0S,19H 29M 0S
2025-05-02,5H 6M 0S,19H 1M 0S,4H 37M 0S,19H 30M 0S
2025-05-03,5H 5M 0S,19H 2M 0S,4H 36M 0S,19H 31M 0S
2025-05-04,5H 4M 0S,19H 3M 0S,4H 35M 0S,19H 32M 0S
2025-05-05,5H 3M 0S,19H 4M 0S,4H 33M 0S,19H 33M 0S
2025-05-06,5H 2M 0S,19H 5M 0S,4H 32M 0S,19H 34M 0S
2025-05-07,5H 1M 0S,19H 6M 0S,4H 31M 0S,19H 35M 0S
2025-05-08,5H 0M 0S,19H 7M 0S,4H 30M 0S,19H 37M 0S
2025-05-09,4H 58M 0S,19H 8M 0S,4H 29M 0S,19H 38M 0S
2025-05-10,4H 57M 0S,19H 9M 0S,4H 28M 0S,19H 39M 0S
2025-05-11,4H 56M 0S,19H 10M 0S,4H 27M 0S,19H 40M 0S
2025-05-12,4H 55M 0S,19H 11M 0S,4H 25M 0S,19H 41M 0S
2025-05-13,4H 55M 0S,19H 11M 0S,4H 24M 0S,19H 42M 0S
2025-05-14,4H 54M 0S,19H 12M 0S,4H 23M 0S,19H 43M 0S
2025-05-15,4H 53M 0S,19H 13M 0S,4H 22M 0S,19H 44M 0S
2025-05-16,4H 52M 0S,19H 14M 0S,4H 21M 0S,19H 45M 0S
2025-05-17,4H 51M 0S,19H 15M 0S,4H 21M 0S,19H 46M 0S
2025-05-18,4H 50M 0S,19H 16M 0S,4H 20M 0S,19H 47M 0S
2025-05-19,4H 49M 0S,19H 17M 0S,4H 19M 0S,19H 48M 0S
2025-05-20,4H 49M 0S,19H 18M 0S,4H 18M 0S,19H 49M 0S
2025-05-21,4H 48M 0S,19H 19M 0S,4H 17M 0S,19H 50M 0S
2025-05-22,4H 47M 0S,19H 19M 0S,4H 16M 0S,19H 51M 0S
2025-05-23,4H 46M 0S,19H 20M 0S,4H 15M 0S,19H 51M 0S
2025-05-24,4H 46M 0S,19H 21M 0S,4H 15M 0S,19H 52M 0S
2025-05-25,4H 45M 0S,19H 22M 0S,4H 14M 0S,19H 53M 0S
2025-05-26,4H 45M 0S,19H 23M 0S,4H 13M 0S,19H 54M 0S
2025-05-27,4H 44M 0S,19H 24M 0S,4H 13M 0S,19H 55M 0S
2025-05-28,4H 44M 0S,19H 24M 0S,4H 12M 0S,19H 56M 0S
2025-05-29,4H 43M 0S,19H 25M 0S,4H 12M 0S,19H 57M 0S
2025-05-30,4H 43M 0S,19H 26M 0S,4H 11M 0S,19H 57M 0S
2025-05-31,4H 42M 0S,19H 27M 0S,4H 11M 0S,19H 58M 0S
2025-06-01,4H 42M 0S,19H 27M 0S,4H 10M 0S,19H 59M 0S
2025-06-02,4H 41M 0S,19H 28M 0S,4H 10M 0S,20H 0M 0S
2025-06-03,4H 41M 0S,19H 29M 0S,4H 9M 0S,20H 0M 0S
2025-06-04,4H 41M 0S,19H 29M 0S,4H 9M 0S,20H 1M 0S
2025-06-05,4H 40M 0S,19H 30M 0S,4H 8M 0S,20H 2M 0S
2025-06-06,4H 40M 0S,19H 30M 0S,4H 8M 0S,20H 2M 0S
2025-06-07,4H 40M 0S,19H 31M 0S,4H 8M 0S,20H 3M 0S
2025-06-08,4H 40M 0S,19H 32M 0S,4H 8M 0S,20H 4M 0S
2025-06-09,4H 40M 0S,19H 32M 0S,4H 7M 0S,20H 4M 0S
2025-06-10,4H 39M 0S,19H 33M 0S,4H 7M 0S,20H 5M 0S
2025-06-11,4H 39M 0S,19H 33M 0S,4H 7M 0S,20H 5M 0S
2025-06-12,4H 39M 0S,19H 34M 0S,4H 7M 0S,20H 6M 0S
2025-06-13,4H 39M 0S,19H 34M 0S,4H 7M 0S,20H 6M 0S
2025-06-14,4H 39M 0S,19H 34M 0S,4H 7M 0S,20H 7M 0S
2025-06-15,4H 39M 0S,19H 35M 0S,4H 7M 0S,20H 7M 0S
2025-06-16,4H 39M 0S,19H 35M 0S,4H 7M 0S,20H 7M 0S
2025-06-17,4H 40M 0S,19H 35M 0S,4H 7M 0S,20H 8M 0S
2025-06-18,4H 40M 0S,19H 36M 0S,4H 7M 0S,20H 8M 0S
2025-06-19,4H 40M 0S,19H 36M 0S,4H 7M 0S,20H 8M 0S
2025-06-20,4H 40M 0S,19H 36M 0S,4H 8M 0S,20H 9M 0S
2025-06-21,4H 40M 0S,19H 36M 0S,4H 8M 0S,20H 9M 0S
2025-06-22,4H 40M 0S,19H 37M 0S,4H 8M 0S,20H 9M 0S
2025-06-23,4H 41M 0S,19H 37M 0S,4H 8M 0S,20H 9M 0S
2025-06-24,4H 41M 0S,19H 37M 0S,4H 9M 0S,20H 9M 0S
2025-06-25,4H 41M 0S,19H 37M 0S,4H 9M 0S,20H 9M 0S
2025-06-26,4H 42M 0S,19H 37M 0S,4H 9M 0S,20H 9M 0S
2025-06-27,4H 42M 0S,19H 37M 0S,4H 10M 0S,20H 9M 0S
2025-06-28,4H 42M 0S,19H 37M 0S,4H 10M 0S,20H 9M 0S
2025-06-29,4H 43M 0S,19H 37M 0S,4H 11M 0S,20H 9M 0S
2025-06-30,4H 43M 0S,19H 37M 0S,4H 11M 0S,20H 9M 0S
2025-07-01,4H 44M 0S,19H 37M 0S,4H 12M 0S,20H 9M 0S
