"Date","Sunrise","Sunset","Dawn","Dusk"
2025-07-02,4H 44M 0S,19H 37M 0S,4H 12M 0S,20H 9M 0S
2025-07-03,4H 45M 0S,19H 37M 0S,4H 13M 0S,20H 9M 0S
2025-07-04,4H 45M 0S,19H 36M 0S,4H 13M 0S,20H 8M 0S
2025-07-05,4H 46M 0S,19H 36M 0S,4H 14M 0S,20H 8M 0S
2025-07-06,4H 47M 0S,19H 36M 0S,4H 15M 0S,20H 8M 0S
2025-07-07,4H 47M 0S,19H 35M 0S,4H 15M 0S,20H 7M 0S
2025-07-08,4H 48M 0S,19H 35M 0S,4H 16M 0S,20H 7M 0S
2025-07-09,4H 48M 0S,19H 35M 0S,4H 17M 0S,20H 6M 0S
2025-07-10,4H 49M 0S,19H 34M 0S,4H 17M 0S,20H 6M 0S
2025-07-11,4H 50M 0S,19H 34M 0S,4H 18M 0S,20H 6M 0S
2025-07-12,4H 50M 0S,19H 33M 0S,4H 19M 0S,20H 5M 0S
2025-07-13,4H 51M 0S,19H 33M 0S,4H 20M 0S,20H 4M 0S
2025-07-14,4H 52M 0S,19H 32M 0S,4H 20M 0S,20H 4M 0S
2025-07-15,4H 53M 0S,19H 32M 0S,4H 21M 0S,20H 3M 0S
2025-07-16,4H 53M 0S,19H 31M 0S,4H 22M 0S,20H 3M 0S
2025-07-17,4H 54M 0S,19H 31M 0S,4H 23M 0S,20H 2M 0S
2025-07-18,4H 55M 0S,19H 30M 0S,4H 24M 0S,20H 1M 0S
2025-07-19,4H 56M 0S,19H 29M 0S,4H 25M 0S,20H 0M 0S
2025-07-20,4H 56M 0S,19H 29M 0S,4H 26M 0S,20H 0M 0S
2025-07-21,4H 57M 0S,19H 28M 0S,4H 26M 0S,19H 59M 0S
2025-07-22,4H 58M 0S,19H 27M 0S,4H 27M 0S,19H 58M 0S
2025-07-23,4H 59M 0S,19H 26M 0S,4H 28M 0S,19H 57M 0S
2025-07-24,5H 0M 0S,19H 26M 0S,4H 29M 0S,19H 56M 0S
2025-07-25,5H 1M 0S,19H 25M 0S,4H 30M 0S,19H 55M 0S
2025-07-26,5H 2M 0S,19H 24M 0S,4H 31M 0S,19H 54M 0S
2025-07-27,5H 2M 0S,19H 23M 0S,4H 32M 0S,19H 53M 0S
2025-07-28,5H 3M 0S,19H 22M 0S,4H 33M 0S,19H 52M 0S
2025-07-29,5H 4M 0S,19H 21M 0S,4H 34M 0S,19H 51M 0S
2025-07-30,5H 5M 0S,19H 20M 0S,4H 35M 0S,19H 50M 0S
2025-07-31,5H 6M 0S,19H 19M 0S,4H 36M 0S,19H 49M 0S
2025-08-01,5H 7M 0S,19H 18M 0S,4H 37M 0S,19H 48M 0S
2025-08-02,5H 8M 0S,19H 17M 0S,4H 38M 0S,19H 47M 0S
2025-08-03,5H 9M 0S,19H 16M 0S,4H 39M 0S,19H 46M 0S
2025-08-04,5H 10M 0S,19H 15M 0S,4H 40M 0S,19H 44M 0S
2025-08-05,5H 10M 0S,19H 14M 0S,4H 41M 0S,19H 43M 0S
2025-08-06,5H 11M 0S,19H 13M 0S,4H 42M 0S,19H 42M 0S
2025-08-07,5H 12M 0S,19H 11M 0S,4H 43M 0S,19H 41M 0S
2025-08-08,5H 13M 0S,19H 10M 0S,4H 44M 0S,19H 39M 0S
2025-08-09,5H 14M 0S,19H 9M 0S,4H 45M 0S,19H 38M 0S
2025-08-10,5H 15M 0S,19H 8M 0S,4H 46M 0S,19H 37M 0S
2025-08-11,5H 16M 0S,19H 6M 0S,4H 47M 0S,19H 35M 0S
2025-08-12,5H 17M 0S,19H 5M 0S,4H 48M 0S,19H 34M 0S
2025-08-13,5H 18M 0S,19H 4M 0S,4H 49M 0S,19H 33M 0S
2025-08-14,5H 19M 0S,19H 3M 0S,4H 50M 0S,19H 31M 0S
2025-08-15,5H 20M 0S,19H 1M 0S,4H 51M 0S,19H 30M 0S
2025-08-16,5H 21M 0S,19H 0M 0S,4H 52M 0S,19H 28M 0S
2025-08-17,5H 21M 0S,18H 59M 0S,4H 53M 0S,19H 27M 0S
2025-08-18,5H 22M 0S,18H 57M 0S,4H 54M 0S,19H 26M 0S
2025-08-19,5H 23M 0S,18H 56M 0S,4H 55M 0S,19H 24M 0S
2025-08-20,5H 24M 0S,18H 54M 0S,4H 56M 0S,19H 23M 0S
2025-08-21,5H 25M 0S,18H 53M 0S,4H 57M 0S,19H 21M 0S
2025-08-22,5H 26M 0S,18H 52M 0S,4H 58M 0S,19H 20M 0S
2025-08-23,5H 27M 0S,18H 50M 0S,4H 59M 0S,19H 18M 0S
2025-08-24,5H 28M 0S,18H 49M 0S,5H 0M 0S,19H 17M 0S
2025-08-25,5H 29M 0S,18H 47M 0S,5H 1M 0S,19H 15M 0S
2025-08-26,5H 30M 0S,18H 46M 0S,5H 2M 0S,19H 13M 0S
2025-08-27,5H 31M 0S,18H 44M 0S,5H 3M 0S,19H 12M 0S
2025-08-28,5H 32M 0S,18H 43M 0S,5H 4M 0S,19H 10M 0S
2025-08-29,5H 33M 0S,18H 41M 0S,5H 5M 0S,19H 9M 0S
2025-08-30,5H 33M 0S,18H 40M 0S,5H 6M 0S,19H 7M 0S
2025-08-31,5H 34M 0S,18H 38M 0S,5H 7M 0S,19H 6M 0S
2025-09-01,5H 35M 0S,18H 37M 0S,5H 8M 0S,19H 4M 0S
2025-09-02,5H 36M 0S,18H 35M 0S,5H 9M 0S,19H 2M 0S
2025-09-03,5H 37M 0S,18H 34M 0S,5H 10M 0S,19H 1M 0S
2025-09-04,5H 38M 0S,18H 32M 0S,5H 11M 0S,18H 59M 0S
2025-09-05,5H 39M 0S,18H 30M 0S,5H 12M 0S,18H 58M 0S
2025-09-06,5H 40M 0S,18H 29M 0S,5H 13M 0S,18H 56M 0S
2025-09-07,5H 41M 0S,18H 27M 0S,5H 14M 0S,18H 54M 0S
2025-09-08,5H 42M 0S,18H 26M 0S,5H 14M 0S,18H 53M 0S
2025-09-09,5H 43M 0S,18H 24M 0S,5H 15M 0S,18H 51M 0S
2025-09-10,5H 43M 0S,18H 22M 0S,5H 16M 0S,18H 49M 0S
2025-09-11,5H 44M 0S,18H 21M 0S,5H 17M 0S,18H 48M 0S
2025-09-12,5H 45M 0S,18H 19M 0S,5H 18M 0S,18H 46M 0S
2025-09-13,5H 46M 0S,18H 18M 0S,5H 19M 0S,18H 44M 0S
2025-09-14,5H 47M 0S,18H 16M 0S,5H 20M 0S,18H 43M 0S
2025-09-15,5H 48M 0S,18H 14M 0S,5H 21M 0S,18H 41M 0S
2025-09-16,5H 49M 0S,18H 13M 0S,5H 22M 0S,18H 39M 0S
2025-09-17,5H 50M 0S,18H 11M 0S,5H 23M 0S,18H 38M 0S
2025-09-18,5H 51M 0S,18H 9M 0S,5H 24M 0S,18H 36M 0S
2025-09-19,5H 52M 0S,18H 8M 0S,5H 25M 0S,18H 35M 0S
2025-09-20,5H 53M 0S,18H 6M 0S,5H 26M 0S,18H 33M 0S
2025-09-21,5H 53M 0S,18H 5M 0S,5H 27M 0S,18H 31M 0S
2025-09-22,5H 54M 0S,18H 3M 0S,5H 28M 0S,18H 30M 0S
2025-09-23,5H 55M 0S,18H 1M 0S,5H 29M 0S,18H 28M 0S
2025-09-24,5H 56M 0S,18H 0M 0S,5H 29M 0S,18H 26M 0S
2025-09-25,5H 57M 0S,17H 58M 0S,5H 30M 0S,18H 25M 0S
2025-09-26,5H 58M 0S,17H 56M 0S,5H 31M 0S,18H 23M 0S
2025-09-27,5H 59M 0S,17H 55M 0S,5H 32M 0S,18H 22M 0S
2025-09-28,6H 0M 0S,17H 53M 0S,5H 33M 0S,18H 20M 0S
2025-09-29,6H 1M 0S,17H 52M 0S,5H 34M 0S,18H 18M 0S
2025-09-30,6H 2M 0S,17H 50M 0S,5H 35M 0S,18H 17M 0S
2025-10-01,6H 3M 0S,17H 48M 0S,5H 36M 0S,18H 15M 0S
2025-10-02,6H 4M 0S,17H 47M 0S,5H 37M 0S,18H 14M 0S
2025-10-03,6H 5M 0S,17H 45M 0S,5H 38M 0S,18H 12M 0S
2025-10-04,6H 6M 0S,17H 44M 0S,5H 39M 0S,18H 10M 0S
2025-10-05,6H 7M 0S,17H 42M 0S,5H 40M 0S,18H 9M 0S
2025-10-06,6H 8M 0S,17H 41M 0S,5H 41M 0S,18H 7M 0S
2025-10-07,6H 9M 0S,17H 39M 0S,5H 42M 0S,18H 6M 0S
2025-10-08,6H 10M 0S,17H 38M 0S,5H 43M 0S,18H 4M 0S
2025-10-09,6H 10M 0S,17H 36M 0S,5H 44M 0S,18H 3M 0S
2025-10-10,6H 11M 0S,17H 34M 0S,5H 45M 0S,18H 1M 0S
2025-10-11,6H 12M 0S,17H 33M 0S,5H 46M 0S,18H 0M 0S
2025-10-12,6H 13M 0S,17H 31M 0S,5H 47M 0S,17H 58M 0S
2025-10-13,6H 14M 0S,17H 30M 0S,5H 48M 0S,17H 57M 0S
2025-10-14,6H 15M 0S,17H 29M 0S,5H 49M 0S,17H 55M 0S
2025-10-15,6H 17M 0S,17H 27M 0S,5H 50M 0S,17H 54M 0S
2025-10-16,6H 18M 0S,17H 26M 0S,5H 51M 0S,17H 53M 0S
2025-10-17,6H 19M 0S,17H 24M 0S,5H 51M 0S,17H 51M 0S
2025-10-18,6H 20M 0S,17H 23M 0S,5H 52M 0S,17H 50M 0S
2025-10-19,6H 21M 0S,17H 21M 0S,5H 53M 0S,17H 49M 0S
2025-10-20,6H 22M 0S,17H 20M 0S,5H 54M 0S,17H 47M 0S
2025-10-21,6H 23M 0S,17H 19M 0S,5H 55M 0S,17H 46M 0S
2025-10-22,6H 24M 0S,17H 17M 0S,5H 57M 0S,17H 45M 0S
2025-10-23,6H 25M 0S,17H 16M 0S,5H 58M 0S,17H 43M 0S
2025-10-24,6H 26M 0S,17H 15M 0S,5H 59M 0S,17H 42M 0S
2025-10-25,6H 27M 0S,17H 13M 0S,6H 0M 0S,17H 41M 0S
2025-10-26,6H 28M 0S,17H 12M 0S,6H 1M 0S,17H 40M 0S
2025-10-27,6H 29M 0S,17H 11M 0S,6H 2M 0S,17H 38M 0S
2025-10-28,6H 30M 0S,17H 10M 0S,6H 3M 0S,17H 37M 0S
2025-10-29,6H 31M 0S,17H 8M 0S,6H 4M 0S,17H 36M 0S
2025-10-30,6H 32M 0S,17H 7M 0S,6H 5M 0S,17H 35M 0S
2025-10-31,6H 34M 0S,17H 6M 0S,6H 6M 0S,17H 34M 0S
2025-11-01,6H 35M 0S,17H 5M 0S,6H 7M 0S,17H 33M 0S
2025-11-02,6H 36M 0S,17H 4M 0S,6H 8M 0S,17H 32M 0S
2025-11-03,6H 37M 0S,17H 3M 0S,6H 9M 0S,17H 31M 0S
2025-11-04,6H 38M 0S,17H 2M 0S,6H 10M 0S,17H 30M 0S
2025-11-05,6H 39M 0S,17H 0M 0S,6H 11M 0S,17H 29M 0S
2025-11-06,6H 40M 0S,16H 59M 0S,6H 12M 0S,17H 28M 0S
2025-11-07,6H 41M 0S,16H 58M 0S,6H 13M 0S,17H 27M 0S
2025-11-08,6H 42M 0S,16H 57M 0S,6H 14M 0S,17H 26M 0S
2025-11-09,6H 44M 0S,16H 57M 0S,6H 15M 0S,17H 25M 0S
2025-11-10,6H 45M 0S,16H 56M 0S,6H 16M 0S,17H 24M 0S
2025-11-11,6H 46M 0S,16H 55M 0S,6H 17M 0S,17H 23M 0S
2025-11-12,6H 47M 0S,16H 54M 0S,6H 18M 0S,17H 22M 0S
2025-11-13,6H 48M 0S,16H 53M 0S,6H 19M 0S,17H 22M 0S
2025-11-14,6H 49M 0S,16H 52M 0S,6H 21M 0S,17H 21M 0S
2025-11-15,6H 50M 0S,16H 51M 0S,6H 22M 0S,17H 20M 0S
2025-11-16,6H 51M 0S,16H 51M 0S,6H 23M 0S,17H 19M 0S
2025-11-17,6H 53M 0S,16H 50M 0S,6H 24M 0S,17H 19M 0S
2025-11-18,6H 54M 0S,16H 49M 0S,6H 25M 0S,17H 18M 0S
2025-11-19,6H 55M 0S,16H 49M 0S,6H 26M 0S,17H 18M 0S
2025-11-20,6H 56M 0S,16H 48M 0S,6H 27M 0S,17H 17M 0S
2025-11-21,6H 57M 0S,16H 48M 0S,6H 28M 0S,17H 17M 0S
2025-11-22,6H 58M 0S,16H 47M 0S,6H 29M 0S,17H 16M 0S
2025-11-23,6H 59M 0S,16H 46M 0S,6H 30M 0S,17H 16M 0S
2025-11-24,7H 0M 0S,16H 46M 0S,6H 31M 0S,17H 15M 0S
2025-11-25,7H 1M 0S,16H 46M 0S,6H 32M 0S,17H 15M 0S
2025-11-26,7H 2M 0S,16H 45M 0S,6H 33M 0S,17H 14M 0S
2025-11-27,7H 3M 0S,16H 45M 0S,6H 34M 0S,17H 14M 0S
2025-11-28,7H 4M 0S,16H 44M 0S,6H 35M 0S,17H 14M 0S
2025-11-29,7H 5M 0S,16H 44M 0S,6H 36M 0S,17H 14M 0S
2025-11-30,7H 6M 0S,16H 44M 0S,6H 37M 0S,17H 13M 0S
2025-12-01,7H 7M 0S,16H 44M 0S,6H 38M 0S,17H 13M 0S
2025-12-02,7H 8M 0S,16H 43M 0S,6H 39M 0S,17H 13M 0S
2025-12-03,7H 9M 0S,16H 43M 0S,6H 40M 0S,17H 13M 0S
2025-12-04,7H 10M 0S,16H 43M 0S,6H 40M 0S,17H 13M 0S
2025-12-05,7H 11M 0S,16H 43M 0S,6H 41M 0S,17H 13M 0S
2025-12-06,7H 12M 0S,16H 43M 0S,6H 42M 0S,17H 13M 0S
2025-12-07,7H 13M 0S,16H 43M 0S,6H 43M 0S,17H 13M 0S
2025-12-08,7H 14M 0S,16H 43M 0S,6H 44M 0S,17H 13M 0S
2025-12-09,7H 15M 0S,16H 43M 0S,6H 45M 0S,17H 13M 0S
2025-12-10,7H 15M 0S,16H 43M 0S,6H 45M 0S,17H 13M 0S
2025-12-11,7H 16M 0S,16H 43M 0S,6H 46M 0S,17H 13M 0S
2025-12-12,7H 17M 0S,16H 44M 0S,6H 47M 0S,17H 14M 0S
2025-12-13,7H 18M 0S,16H 44M 0S,6H 48M 0S,17H 14M 0S
2025-12-14,7H 18M 0S,16H 44M 0S,6H 48M 0S,17H 14M 0S
2025-12-15,7H 19M 0S,16H 44M 0S,6H 49M 0S,17H 14M 0S
2025-12-16,7H 20M 0S,16H 45M 0S,6H 50M 0S,17H 15M 0S
2025-12-17,7H 20M 0S,16H 45M 0S,6H 50M 0S,17H 15M 0S
2025-12-18,7H 21M 0S,16H 45M 0S,6H 51M 0S,17H 16M 0S
2025-12-19,7H 22M 0S,16H 46M 0S,6H 51M 0S,17H 16M 0S
2025-12-20,7H 22M 0S,16H 46M 0S,6H 52M 0S,17H 16M 0S
2025-12-21,7H 23M 0S,16H 47M 0S,6H 52M 0S,17H 17M 0S
2025-12-22,7H 23M 0S,16H 47M 0S,6H 53M 0S,17H 17M 0S
2025-12-23,7H 24M 0S,16H 48M 0S,6H 53M 0S,17H 18M 0S
2025-12-24,7H 24M 0S,16H 48M 0S,6H 54M 0S,17H 19M 0S
2025-12-25,7H 24M 0S,16H 49M 0S,6H 54M 0S,17H 19M 0S
2025-12-26,7H 25M 0S,16H 50M 0S,6H 55M 0S,17H 20M 0S
2025-12-27,7H 25M 0S,16H 50M 0S,6H 55M 0S,17H 20M 0S
2025-12-28,7H 25M 0S,16H 51M 0S,6H 55M 0S,17H 21M 0S
2025-12-29,7H 26M 0S,16H 52M 0S,6H 56M 0S,17H 22M 0S
2025-12-30,7H 26M 0S,16H 53M 0S,6H 56M 0S,17H 23M 0S
2025-12-31,7H 26M 0S,16H 53M 0S,6H 56M 0S,17H 23M 0S
